,word,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0,reflexly,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,unageing,1,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
2,vinegary,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3,dotation,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0
4,spoonful,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,0,0,0,0,0
5,dingiest,0,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
6,haftarah,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7,mistreat,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0
8,monocyte,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0
9,tamarind,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
10,blamably,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,outliner,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0
12,whelping,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
13,braunite,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
14,oppilant,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0
15,hereaway,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
16,axillary,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0
17,squalene,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
18,winterer,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0
19,balladry,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,shoepacs,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
21,enviably,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
22,subbreed,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
23,ustulate,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0
24,jiujitsu,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
25,trolling,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0
26,haematal,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,keeshond,0,0,0,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
28,examples,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
29,spritzes,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1
30,geraniol,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
31,corvette,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0
32,delation,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
33,gheraoes,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
34,satiable,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,serosity,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0
36,provided,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
37,minatory,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0
38,overcram,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0
39,reaginic,1,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,liveners,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
41,culprits,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
42,affixial,2,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,resinoid,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
44,seascape,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
45,starving,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0
46,whinnier,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
47,chomping,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
48,bookings,0,1,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
49,sclerite,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
50,yummiest,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0
51,authored,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
52,alarming,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
53,dinkiest,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
54,laryngeal,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0
55,boulders,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
56,sorcerer,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
57,forefeel,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
58,outspell,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0
59,curtalax,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
60,misusage,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
61,doupioni,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0
62,slinking,0,0,0,0,0,0,1,0,2,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
63,rehinges,0,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
64,loudness,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0
65,labrusca,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
66,beeyards,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
67,branches,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
68,peytrels,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0
69,engineer,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
70,arsenite,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
71,effecter,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
72,etouffee,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
73,bradawls,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
74,zoospore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1
75,morrises,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0
76,articled,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
77,hommocks,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
78,tankages,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
79,pennated,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
80,floatels,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0
81,pumpkins,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0
82,choreoid,0,0,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
83,espouser,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0
84,sweetsop,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0
85,sandbank,2,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
86,pokiness,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0
87,canaries,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
88,aglycone,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
89,unrusted,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0
90,gripsack,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
91,siluroid,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
92,effected,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,druggier,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
94,abapical,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,offprint,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
96,posttest,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0
97,eviction,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
98,goitrous,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0
99,psephite,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
100,emotions,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0
101,fleering,0,0,0,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
102,avowably,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
103,mannitol,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0
104,urethans,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
